prb_id, percentie, MON, TUE, WED, THU, FRI, SAT, SUN, ALL
51329, p50, 0.034324316503083145, 0.04069575421208823, 0.021404516750485963, 0.020861935786235568, 0.019710915612788416, 0.029136446691032852, 0.028819331126427355, 0.04564588486275449
51329, p75, 0.051895594210000194, 0.050231476229356774, 0.02855046233917094, 0.04100894399354851, 0.05823166867120046, 0.0678620724441455, 0.028428248180412244, 0.06007951828528852
51329, p90, 0.10146280999243702, 0.0746200027769297, 0.018275493849071064, 0.016255658431706725, 0.055687681309927975, 0.0615205410104087, 0.02196214713929211, 0.03949759983465512
51329, p95, 0.08075588176454924, 0.08122406455159109, 0.023900519151701938, 0.02145546770593142, 0.039428019941249844, 0.05036363445144722, 0.033546444942997876, 0.03803874927614481
21127, p50, 0.05002328051132148, 0.14391195454461903, 0.05914063820507061, 0.08905704103307689, 0.08522526886031523, 0.05781145655839301, 0.07875327466361519, 0.06678614574534003
21127, p75, 0.11049705409068018, 0.08444518899157119, 0.028525837053813046, 0.0674617614793016, 0.048697801685805085, 0.0713147588240829, 0.09490766838775086, 0.07165816535452864
21127, p90, 0.042163226051634174, 0.10674009436028527, 0.060200381729704794, 0.016787446528528052, 0.05281586912650959, 0.03868762906130897, 0.05429025657888127, 0.0653913873489411
21127, p95, 0.05453267563827233, 0.03234737490055636, 0.07264125389926068, 0.02903132949530077, 0.02976566542968473, 0.059196201695847994, 0.07071182936356747, 0.0425427272559163
28808, p50, 0.05224652097378744, 0.1324117118494565, 0.046502714385290626, 0.048763898275642856, 0.031679220247786626, 0.07981471822705036, 0.06344024640557264, 0.05699503518392876
28808, p75, 0.049231645485469204, 0.12430777629173474, 0.03700461836699428, 0.07827618387481941, 0.04007794765297695, 0.047496031900015494, 0.09206589982197581, 0.06019927013279139
28808, p90, 0.08694840777060445, 0.11972656792169177, 0.027537472462309292, 0.059176195713249086, 0.06730149674133055, 0.04424692307428833, 0.10842064935790681, 0.06765140721834474
28808, p95, 0.1340381678650045, 0.06744390425834115, 0.051735145920478766, 0.0550460006956347, 0.07511603806072535, 0.07256570467597341, 0.07710187224000013, 0.04609118143371337
29036, p50, 0.0804978160703169, 0.09388804845699057, 0.06830430691392557, 0.1585533177150291, 0.13036018254177822, 0.12585820522494534, 0.12332981387137967, 0.08685142754523607
29036, p75, 0.10744743393091867, 0.09911503437767417, 0.05593098697749042, 0.08135839733298204, 0.14055533335934922, 0.04394291561804646, 0.07245120667748609, 0.06202654360023567
29036, p90, 0.08984157389203097, 0.08100002885717698, 0.05142567371829552, 0.042141824445191385, 0.062358280329828854, 0.07760795629737473, 0.08570148388973259, 0.06223060355049585
29036, p95, 0.10833328503448741, 0.06218883982522415, 0.06735989691418803, 0.04621075544837397, 0.06469585620171475, 0.05437016723375044, 0.07953430873603544, 0.04643441539904313
12810, p50, 0.33490801789367824, 0.11786574563683401, 0.2750124044541237, 0.21128739513232425, 0.25021489284339676, 0.12735634464888573, 0.26781446289548533, 0.2528940135333223
12810, p75, 0.0832901007177654, 0.06796785866709198, 0.27046960108585755, 0.18742576564869118, 0.1892812594753529, 0.1282732101408798, 0.17789297114878902, 0.05025451284083616
12810, p90, 0.10674001853121558, 0.06115412319042834, 0.25666078185771446, 0.1474169083193763, 0.17370664172999184, 0.1254103960970097, 0.16813490029329292, 0.026871216137609573
12810, p95, 0.1103837835926141, 0.0521643691480222, 0.2538768913962306, 0.16834679638433836, 0.15826127228079087, 0.17773380920659804, 0.20593873948926308, 0.013912991278575709
14199, p50, 0.17423130547039528, 0.15734655741159403, 0.15320561027155644, 0.11666717635096988, 0.11166960136014108, 0.2690506735456882, 0.21654700586366976, 0.49033405835084637
14199, p75, 0.2940208269769718, 0.2631280269030198, 0.24850488910154375, 0.21428349717970913, 0.20707183014369512, 0.39156496695982607, 0.2952684088012058, 0.5463561810323243
14199, p90, 0.44040571177962423, 0.32016492748670783, 0.3347586509806629, 0.32107635785260324, 0.29937195660926236, 0.4647338494673523, 0.3739342415395847, 0.5840386691083772
14199, p95, 0.4957904155955539, 0.3592615604213041, 0.3793523305826932, 0.3936820464498027, 0.342506043706975, 0.4890613383502127, 0.41471807403363503, 0.6032434121336031
3727, p50, 0.13131141039383692, 0.05544250631702458, 0.053054127362238496, 0.02731898973697892, 0.05092392429430714, 0.04133375064094877, 0.06368650952474744, 0.06805277206498467
3727, p75, 0.06092347478094336, 0.03920950624835817, 0.0834392958574481, 0.05843246875552082, 0.04016648314576623, 0.023466152906662485, 0.08434469045299262, 0.0577300722899091
3727, p90, 0.028372688453640032, 0.050305061176385765, 0.05877606001710461, 0.033014859711741, 0.02525903218871295, 0.028007985264207034, 0.07052327857589681, 0.04991757230054661
3727, p95, 0.05842294194983726, 0.07429876648059966, 0.060374069633520586, 0.04294608516876275, 0.041852580331803724, 0.030342454535988172, 0.09105455575028899, 0.05064912901013792
14352, p50, 0.054996143271472335, 0.07456305677623899, 0.06464023906726442, 0.03171896328958746, 0.0881826127336064, 0.05572970611823598, 0.059411206846679505, 0.048444915227376914
14352, p75, 0.06430376327177158, 0.08469088826133495, 0.03019019321096804, 0.06311860152538509, 0.07212857022244541, 0.043068168430962686, 0.05718536800130156, 0.05393168059271479
14352, p90, 0.06579723509005077, 0.056034612138924536, 0.04596310538388907, 0.03919655036716842, 0.04161069266414365, 0.10429452360660921, 0.04241996590568428, 0.046656458768993776
14352, p95, 0.05819665226459799, 0.06254334773133288, 0.07019442339773722, 0.05608203751709973, 0.03659526035646157, 0.0715537989639442, 0.03759200947647881, 0.05511047710665378
