prb_id, percentie, MON, TUE, WED, THU, FRI, SAT, SUN, ALL
3712, p50, 0.09672457596612177, 0.10979664122828954, 0.0684698495499229, 0.06983594185823146, 0.05344011671835748, 0.04365884094370072, 0.0661562159146543, 0.07269618718984
3712, p75, 0.2536396579502441, 0.22430589652846594, 0.08000310528072135, 0.05436365671437101, 0.1525465531318675, 0.108882960824811, 0.14289242003751035, 0.14892086217814537
3712, p90, 0.27459812959670016, 0.2042576846928806, 0.16058362036745638, 0.1128959078465275, 0.2402707610906903, 0.16771160260815732, 0.24726156142846664, 0.2035380735281086
3712, p95, 0.25257184525134924, 0.19959142411007885, 0.1937085921237802, 0.09949771522377913, 0.23501706049839452, 0.15952092376664664, 0.21565349513004128, 0.19644695270575496
23685, p50, 0.13211872289764745, 0.09864066601745357, 0.11197763202834718, 0.040274984138728806, 0.07355134427185117, 0.0715518087224155, 0.0362879610843025, 0.0976224576063915
23685, p75, 0.13989052199288807, 0.05413203370720044, 0.12211290524631378, 0.05131619211341631, 0.06487004614842995, 0.06275305238944226, 0.041468060460071655, 0.080142126506582
23685, p90, 0.03781861624440606, 0.0317769771317519, 0.14104265050938616, 0.07900991079926889, 0.031647952593864076, 0.04477265396980758, 0.04644123131786653, 0.04391876556684083
23685, p95, 0.030516916131787707, 0.08247497939661455, 0.05139402585210914, 0.028166550520918383, 0.0567902718497804, 0.04698878630713526, 0.051726879500576486, 0.04310448303577398
23686, p50, 0.06432480211262587, 0.14269264639750964, 0.07420433720483557, 0.0887915269176924, 0.07672715787715331, 0.05794078584589945, 0.09075463942360686, 0.09267503243725844
23686, p75, 0.03568574252643593, 0.07852199298747059, 0.03251741841331887, 0.09768169587776791, 0.12370880900782188, 0.0820243988911319, 0.07149310391156936, 0.08550165067780764
23686, p90, 0.07467405163979172, 0.04411363895442393, 0.057492676259654936, 0.08723015872664559, 0.11772806196841264, 0.11892548169461957, 0.1043731173621483, 0.08240779625580966
23686, p95, 0.08047915992478263, 0.054380563342963165, 0.07853927088320863, 0.08547739579039028, 0.07198746146331864, 0.11415289252355776, 0.1270788593020924, 0.08518735865168539
24086, p50, 0.2137765944058021, 0.06324953004231024, 0.0718619231546213, 0.04464327578168923, 0.20680911588862275, 0.3096519721788239, 0.1955503116350671, 0.04739148156301874
