prb_id, percentie, MON, TUE, WED, THU, FRI, SAT, SUN, ALL
1408, p50, 0.2906207405412841, 0.36068816942945164, 0.24180380044541125, 0.31540586106394547, 0.14009589384411011, 0.18490379011947605, 0.5352549833005552, 0.10542915341812467
1408, p75, 0.2059626835510027, 0.38104589452372223, 0.17726550434845653, 0.36953387639644575, 0.1385033270370723, 0.2281361916375188, 0.4158215546819609, 0.10474451727381409
1408, p90, 0.20372191857947491, 0.3455940687120912, 0.13209286032233322, 0.21350304804335782, 0.10608589241507833, 0.28945997893168635, 0.49763643327764356, 0.07703229669106133
1408, p95, 0.19043373556160567, 0.35620262198249253, 0.13197516358390796, 0.2148111446372494, 0.10636850821672762, 0.20587907066666836, 0.2452896120555858, 0.07255150204643585
1160, p50, 0.017019716254194725, 0.01570792492943326, 0.03691882702245046, 0.028509289985142582, 0.0072455111250141055, 0.011108786233869024, 0.023461647998308233, 0.048203553996783784
1160, p75, 0.038701878827140865, 0.016134517390004165, 0.05629499650524705, 0.028677388608691706, 0.01736209202408993, 0.01238143220116771, 0.04257093843346622, 0.0710331737827509
1160, p90, 0.05920027655079451, 0.014116803616200276, 0.019431569389262875, 0.04514383722403531, 0.02560008717706644, 0.02251913000795238, 0.05797396981364097, 0.07793865393524209
1160, p95, 0.0235610060441352, 0.051381357891039765, 0.054171878771479325, 0.07180955763423832, 0.07414850606936547, 0.035746021711941106, 0.047528153422972, 0.063411857495722
1163, p50, 0.04019488835452855, 0.03619542608561424, 0.03279904842189464, 0.15884723462379946, 0.03321130682256475, 0.20557846707555777, 0.04803794081133866, 0.2109753867615995
1163, p75, 0.03434275702532438, 0.029134540406226945, 0.061734790812523, 0.14549806862987058, 0.01579810533190661, 0.20900270390742795, 0.040026319029612, 0.22312141037619684
1163, p90, 0.03258229407144421, 0.02576339671538242, 0.08421017096677716, 0.04888837719519489, 0.020077597602939645, 0.22322241657203834, 0.03662707152844824, 0.21059278417123714
1163, p95, 0.04046878375679709, 0.021915112950018873, 0.11212037666377346, 0.025895209166503338, 0.07401340704934042, 0.22294812717365062, 0.04083620009707411, 0.14064109297288202
1164, p50, 0.1633058073627736, 0.23607330913496818, 0.07017137232497175, 0.30949597618226626, 0.20043851116712633, 0.23889953414426607, 0.2724215627511433, 0.268403682121465
1164, p75, 0.19700586039212709, 0.1976451611662233, 0.04210136267217902, 0.2904060588534399, 0.2421193366306664, 0.21238421957089504, 0.17858419235262693, 0.19418026147132383
1164, p90, 0.08492566560055714, 0.06777090953435505, 0.01440531103870531, 0.10406339540578917, 0.09156761923179232, 0.09875395202772885, 0.048307787507700796, 0.0691694713340882
1164, p95, 0.051735696412154614, 0.054860942923703, 0.013322278287929258, 0.11005103913069124, 0.07629685960793117, 0.09303483700062912, 0.12739402681906045, 0.06562829191745984
1169, p50, 0.03293174948728369, 0.027519923847111983, 0.01447361673953726, 0.020874456634369064, 0.018963712842626282, 0.01912189585921784, 0.021953715797725266, 0.013550276498337297
1169, p75, 0.05440068965733744, 0.06944901812695951, 0.03879031238672658, 0.05054034679448386, 0.017483518282606345, 0.01535054680034141, 0.02569842184893125, 0.06202520618051621
1169, p90, 0.03832406509235965, 0.17418129986040803, 0.057655840735206625, 0.060697940895812305, 0.046088094218412146, 0.06643740655125577, 0.04013040816879106, 0.05868071934733848
1169, p95, 0.052210137123310005, 0.1560555814524204, 0.062204295720921045, 0.024464108235137325, 0.03983841784632888, 0.06693640628567024, 0.022933382890770862, 0.0587901605130337
1113, p50, 0.135756268315739, 0.13443597655966627, 0.11330525238506774, 0.1355290654954958, 0.058644910275949605, 0.12410736783990016, 0.11858128440726257, 0.07356457166671311
1113, p75, 0.12844353815375484, 0.1784228648491835, 0.13199105776098763, 0.13888241525669845, 0.07263354477931756, 0.2241907060510401, 0.1161405733100876, 0.10355363586306582
1113, p90, 0.10448534064520983, 0.13598176681160484, 0.14843243175218446, 0.05771794757179697, 0.11472491611774058, 0.22068110516167072, 0.1019536620228601, 0.09465841869289403
1113, p95, 0.08017246741181847, 0.06250257109190796, 0.06816420492753383, 0.03938896983340463, 0.10589875079903707, 0.17344033829280295, 0.16004134223219615, 0.06622477377923694
24, p50, 0.11564452852054115, 0.36522178183826315, 0.12846320286945664, 0.101574603175723, 0.1033639978540621, 0.36581267489851027, 0.23415025581916504, 0.08286888780881434
24, p75, 0.13522531747458572, 0.32364806271594215, 0.13392928615668773, 0.13107287084505043, 0.1058662953536959, 0.07516596719928716, 0.24594555217857803, 0.08258359149091371
24, p90, 0.1297361880832503, 0.10336376670145828, 0.13285225154820202, 0.13129260193119568, 0.12150165670140495, 0.08569500578793693, 0.24206942316201152, 0.0846204824496432
24, p95, 0.11624854985240668, 0.0701532409227788, 0.13505661187064344, 0.1252641299804803, 0.12004891036139877, 0.10644535926938441, 0.19162366990081275, 0.07500354688070938
28, p50, 0.19086879486254, 0.10879597805219733, 0.031048736897372878, 0.04669410305002097, 0.056438337310360034, 0.08470491476287302, 0.08604866576176184, 0.05086647469556987
28, p75, 0.23057384298373285, 0.13123706779725944, 0.07005612743990039, 0.035331141958866635, 0.1008014644956789, 0.14594841048183585, 0.0719292922124543, 0.0719077908029414
28, p90, 0.06906562096806848, 0.16558236409210855, 0.048540733121602134, 0.04151531252594048, 0.15897205705982886, 0.1376055945636004, 0.0834405039749136, 0.04962116496311878
28, p95, 0.04460958564446613, 0.07518860450580883, 0.06642584478537755, 0.02551642994910916, 0.11477745553946021, 0.09487833449208428, 0.056946535844248934, 0.04549542594598489
