prb_id, percentie, MON, TUE, WED, THU, FRI, SAT, SUN, ALL
12800, p50, 0.08185062129824293, 0.10045621900562948, 0.10800298065331883, 0.11818175701245673, 0.07174225273729923, 0.07095962570149122, 0.10267854936382652, 0.10723729973611584
12800, p75, 0.32523525025919364, 0.20046754952499957, 0.2109646741637332, 0.19524003812954774, 0.14517325181086585, 0.16433326728168637, 0.26668257809392293, 0.24767731179409902
12800, p90, 0.4011251955856774, 0.2604736644219436, 0.27662494372991037, 0.22187583371388375, 0.2090230187816119, 0.2644810290181775, 0.33574692145287294, 0.3572245781875872
12800, p95, 0.399524347402773, 0.24806463655705926, 0.29952486388996613, 0.26361549158141534, 0.23576375382238235, 0.34186137040465636, 0.38200031777601035, 0.3895174987835597
20480, p50, 0.018972552298315112, 0.030368452801685597, 0.10033873666513339, 0.061899089795374666, 0.048961777191436906, 0.1135638717826043, 0.013605876649187035, 0.22151672381586382
20480, p75, 0.016335610532721836, 0.034305208588415244, 0.10090575263855867, 0.06178321127931242, 0.07636332589894387, 0.13448640647214918, 0.029868504835994528, 0.24408072354196103
20480, p90, 0.077680168122395, 0.035212638737640634, 0.12435865244973275, 0.11929924632015489, 0.09529102348308417, 0.1520576701836171, 0.07874735860440972, 0.24591868141129838
20480, p95, 0.09743155859322519, 0.03875145108659084, 0.11500238288113372, 0.13222473067443416, 0.11526392595315263, 0.1784414884291271, 0.09808609770930689, 0.24576461931734594
31639, p50, 0.1137090294394679, 0.02422581780970687, 0.06146151585949545, 0.048073680915525274, 0.1066023999779119, 0.06264857345902958, 0.11860793035930368, 0.06904003790353738
31639, p75, 0.08442435676338221, 0.07492244645042717, 0.0923349212245883, 0.07525278427580859, 0.12508929692439424, 0.07396931848159524, 0.15343148823993544, 0.07564525601519191
31639, p90, 0.08515296771163447, 0.15142770837078418, 0.12153853443855135, 0.045111138103493764, 0.13912537563868285, 0.05757619196813503, 0.20579003693419692, 0.0636953467674914
31639, p95, 0.052262536455861555, 0.15347778688949992, 0.12138180364346059, 0.05080487308520655, 0.12671854447308822, 0.05386658342218811, 0.12416878865101472, 0.059123803439669255
17924, p50, 0.09284332772577811, 0.10219640293949621, 0.17728657701604025, 0.18025216441982606, 0.13135634739297145, 0.13871785196572878, 0.09717441478826079, 0.20456657555661523
17924, p75, 0.22082817557461226, 0.10768388941109253, 0.18557720421069168, 0.2192260722004364, 0.15093478295654292, 0.13314240349040996, 0.1321012490403397, 0.222628239390466
17924, p90, 0.3050587596744906, 0.12677883092390432, 0.1769843651997361, 0.2422427196793578, 0.1462255427002674, 0.12120064159373309, 0.19637999605958517, 0.22545006120303424
17924, p95, 0.35151727359798335, 0.11980095789921083, 0.20021202029842178, 0.251039751586738, 0.1527827932202112, 0.10300144585255588, 0.22361787881071554, 0.23409004121317883
25605, p50, 0.0490806753786259, 0.05030240521464487, 0.03236919358430226, 0.02041791803925472, 0.01969375296544848, 0.046245621329678264, 0.04835611656709718, 0.2570059691213637
25605, p75, 0.044518391472047274, 0.022054633251432216, 0.022158931439588355, 0.018135615335757936, 0.01681197880130085, 0.0761293045797803, 0.0714321743257446, 0.2871188211872777
25605, p90, 0.03665072216983679, 0.02420875620398775, 0.017410217154783397, 0.011565755171516994, 0.01656482609969253, 0.06294278543239064, 0.07321333807395429, 0.318901619444122
25605, p95, 0.03177054809743329, 0.017677144754941202, 0.015352552597523182, 0.011191848604064808, 0.015917132755340832, 0.04958489326537806, 0.06582842700419067, 0.3164954195850615
2566, p50, 0.06344201142638471, 0.04345214290054271, 0.047593279771503086, 0.016148657915233244, 0.056959175046299264, 0.021731635030744163, 0.05999506641194425, 0.04531660071021679
2566, p75, 0.06388366796696819, 0.04142836204543315, 0.06492861106042336, 0.08532629066467386, 0.02450119194915676, 0.026394852104958552, 0.025262187701334374, 0.045782856622991815
2566, p90, 0.06279161685551465, 0.04388191099133632, 0.05868620428213124, 0.03412443482653863, 0.031332837272935496, 0.05487522759043774, 0.05206996866201225, 0.0460077714203502
2566, p95, 0.06834077882592106, 0.025756454806495445, 0.04208159092924717, 0.0687816482335165, 0.030727147125890423, 0.05622824880878571, 0.06302368634853454, 0.04712455565618308
6666, p50, 0.030592038008783982, 0.02213525906729339, 0.023447176078851602, 0.022875309510972216, 0.0266472487194008, 0.02533885427607659, 0.0380680022680062, 0.025061256008327176
